ensembl_id,gene_id,Description
ENSRNOG00000004481,Adss,adenylosuccinate synthase
ENSRNOG00000004482,Ccdc88c,coiled-coil domain containing 88C
ENSRNOG00000004483,Ptprr,"protein tyrosine phosphatase, receptor type, R"
ENSRNOG00000004484,Commd5,COMM domain containing 5
ENSRNOG00000004487,Nek2,NIMA-related kinase 2
ENSRNOG00000004489,Adgre5,adhesion G protein-coupled receptor E5
ENSRNOG00000004492,Mterf3,mitochondrial transcription termination factor 3
ENSRNOG00000004493,Tasp1,taspase 1
ENSRNOG00000004494,Lta4h,leukotriene A4 hydrolase
ENSRNOG00000004496,Rock2,Rho-associated coiled-coil containing protein kinase 2
ENSRNOG00000004499,Gpr135,G protein-coupled receptor 135
ENSRNOG00000004500,Myc,"MYC proto-oncogene, bHLH transcription factor"
ENSRNOG00000004503,L3hypdh,trans-L-3-hydroxyproline dehydratase
ENSRNOG00000004505,Nfic,nuclear factor I/C
ENSRNOG00000004509,Eapp,E2F-associated phosphoprotein
ENSRNOG00000004510,Slc35b1,"solute carrier family 35, member B1"
ENSRNOG00000004515,Pes1,pescadillo ribosomal biogenesis factor 1
ENSRNOG00000004516,Itgbl1,integrin subunit beta like 1
ENSRNOG00000004517,Igf1,insulin-like growth factor 1
ENSRNOG00000004518,Cacnb1,calcium voltage-gated channel auxiliary subunit beta 1
ENSRNOG00000004519,Atg2b,autophagy related 2B
ENSRNOG00000004520,Wdr60,WD repeat domain 60
ENSRNOG00000004521,Prpf39,pre-mRNA processing factor 39
ENSRNOG00000004524,Desi2,desumoylating isopeptidase 2
ENSRNOG00000004526,Cox7a2l,cytochrome c oxidase subunit 7A2 like
ENSRNOG00000004527,Lin7a,"lin-7 homolog A, crumbs cell polarity complex component"
ENSRNOG00000004531,Tceanc,transcription elongation factor A N-terminal and central domain containing
ENSRNOG00000004532,Dipk1b,divergent protein kinase domain 1B
ENSRNOG00000004534,Spdya,speedy/RINGO cell cycle regulator family member A
ENSRNOG00000004537,Rxrg,retinoid X receptor gamma
ENSRNOG00000004538,Brd1,bromodomain containing 1
ENSRNOG00000004540,Clec3b,"C-type lectin domain family 3, member B"
ENSRNOG00000004542,Ttc8,tetratricopeptide repeat domain 8
ENSRNOG00000004544,Ube2e3,ubiquitin-conjugating enzyme E2E 3
ENSRNOG00000004549,Dhx40,DEAH-box helicase 40
ENSRNOG00000004553,Cox20,cytochrome c oxidase assembly factor COX20
ENSRNOG00000004554,Dcn,decorin
ENSRNOG00000004556,Dcaf5,DDB1 and CUL4 associated factor 5
ENSRNOG00000004560,Cacna1b,calcium voltage-gated channel subunit alpha1 B
ENSRNOG00000004563,Sec24a,"SEC24 homolog A, COPII coat complex component"
ENSRNOG00000004564,Lrriq1,leucine-rich repeats and IQ motif containing 1
ENSRNOG00000004566,Arhgef15,Rho guanine nucleotide exchange factor 15
ENSRNOG00000004571,RGD1563680,similar to CDNA sequence BC052040
ENSRNOG00000004572,Zfp472,zinc finger protein 472
ENSRNOG00000004574,Ofd1,"OFD1, centriole and centriolar satellite protein"
ENSRNOG00000004577,Fez2,fasciculation and elongation protein zeta 2
ENSRNOG00000004578,Cthrc1,collagen triple helix repeat containing 1
ENSRNOG00000004581,Zdhhc9,"zinc finger, DHHC-type containing 9"
ENSRNOG00000004585,Tmtc2,transmembrane O-mannosyltransferase targeting cadherins 2
ENSRNOG00000004588,Zbed4,"zinc finger, BED-type containing 4"
ENSRNOG00000004589,Galnt16,polypeptide N-acetylgalactosaminyltransferase 16
ENSRNOG00000004591,Alg12,"ALG12, alpha-1,6-mannosyltransferase"
ENSRNOG00000004595,Pou6f1,POU class 6 homeobox 1
ENSRNOG00000004598,Tsen54,tRNA splicing endonuclease subunit 54
ENSRNOG00000004602,Rnf145,ring finger protein 145
ENSRNOG00000004603,Srgap1,SLIT-ROBO Rho GTPase activating protein 1
ENSRNOG00000004604,Slc38a10,"solute carrier family 38, member 10"
ENSRNOG00000004606,Meis1,Meis homeobox 1
ENSRNOG00000004608,Pam16,presequence translocase associated motor 16
ENSRNOG00000004610,Lum,lumican
ENSRNOG00000004612,Ppp1cb,protein phosphatase 1 catalytic subunit beta
ENSRNOG00000004613,Gpm6b,glycoprotein m6b
ENSRNOG00000004614,Lypd6b,LY6/PLAUR domain containing 6B
ENSRNOG00000004616,Npm1,nucleophosmin 1
ENSRNOG00000004621,Rtn4,reticulon 4
ENSRNOG00000004624,Rnd3,Rho family GTPase 3
ENSRNOG00000004628,Dazap2,DAZ associated protein 2
ENSRNOG00000004629,Fkbp3,FKBP prolyl isomerase 3
ENSRNOG00000004632,Pmch,pro-melanin-concentrating hormone
ENSRNOG00000004637,Fbxo7,F-box protein 7
ENSRNOG00000004639,Traf6,TNF receptor associated factor 6
ENSRNOG00000004640,Mtfp1,mitochondrial fission process 1
ENSRNOG00000004641,Sstr4,somatostatin receptor 4
ENSRNOG00000004642,Lmx1a,LIM homeobox transcription factor 1 alpha
ENSRNOG00000004650,Begain,brain-enriched guanylate kinase-associated
ENSRNOG00000004657,Sec23a,"Sec23 homolog A, coat complex II component"
ENSRNOG00000004659,Creld2,cysteine-rich with EGF-like domains 2
ENSRNOG00000004660,Fzd6,frizzled class receptor 6
ENSRNOG00000004666,Prr5l,proline rich 5 like
ENSRNOG00000004667,Gen1,GEN1 Holliday junction 5' flap endonuclease
ENSRNOG00000004668,Slc25a35,"solute carrier family 25, member 35"
ENSRNOG00000004670,Ddx56,DEAD-box helicase 56
ENSRNOG00000004672,Sec14l2,SEC14-like lipid binding 2
ENSRNOG00000004673,Rbm43,RNA binding motif protein 43
ENSRNOG00000004676,Pak3,p21 (RAC1) activated kinase 3
ENSRNOG00000004677,Zeb2,zinc finger E-box binding homeobox 2
ENSRNOG00000004679,Fign,"fidgetin, microtubule severing factor"
ENSRNOG00000004680,Kif5c,kinesin family member 5C
ENSRNOG00000004681,Eny2,"ENY2, transcription and export complex 2 subunit"
ENSRNOG00000004685,Mta3,"metastasis associated 1 family, member 3"
ENSRNOG00000004686,Spop,speckle type BTB/POZ protein
ENSRNOG00000004687,Thbd,thrombomodulin
ENSRNOG00000004688,Rbfox2,RNA binding fox-1 homolog 2
ENSRNOG00000004693,Pbx1,PBX homeobox 1
ENSRNOG00000004695,Celf5,"CUGBP, Elav-like family member 5"
ENSRNOG00000004696,Arhgap5,Rho GTPase activating protein 5
ENSRNOG00000004697,Baalc,BAALC binder of MAP3K1 and KLF4
ENSRNOG00000004699,Fibin,fin bud initiation factor homolog
ENSRNOG00000004700,Nxt1,nuclear transport factor 2-like export factor 1
ENSRNOG00000004708,Aard,alanine and arginine rich domain containing protein
ENSRNOG00000004709,Foxn3,forkhead box N3
ENSRNOG00000004710,Rbks,ribokinase
ENSRNOG00000004711,Mta1,metastasis associated 1
ENSRNOG00000004713,Kcnj16,"potassium inwardly-rectifying channel, subfamily J, member 16"
ENSRNOG00000004719,Pp2d1,protein phosphatase 2C-like domain containing 1
ENSRNOG00000004720,Kcnj2,"potassium inwardly-rectifying channel, subfamily J, member 2"
ENSRNOG00000004723,Fcf1,FCF1 rRNA-processing protein
ENSRNOG00000004726,Mapkapk2,MAPK activated protein kinase 2
ENSRNOG00000004727,Nup37,nucleoporin 37
ENSRNOG00000004730,Meis2,Meis homeobox 2
ENSRNOG00000004731,Ano3,anoctamin 3
ENSRNOG00000004733,Wdr25,WD repeat domain 25
ENSRNOG00000004735,Gzf1,GDNF-inducible zinc finger protein 1
ENSRNOG00000004736,Ralgps2,Ral GEF with PH domain and SH3 binding motif 2
ENSRNOG00000004737,Cd48,Cd48 molecule
ENSRNOG00000004740,Mmadhc,metabolism of cobalamin associated D
ENSRNOG00000004741,Rpl19,ribosomal protein L19
ENSRNOG00000004742,Chp1,calcineurin-like EF-hand protein 1
ENSRNOG00000004749,Slc30a1,solute carrier family 30 member 1
ENSRNOG00000004751,Jkamp,JNK1/MAPK8-associated membrane protein
ENSRNOG00000004752,Nalcn,"sodium leak channel, non-selective"
ENSRNOG00000004753,Napb,NSF attachment protein beta
ENSRNOG00000004754,Tc2n,"tandem C2 domains, nuclear"
ENSRNOG00000004755,Commd9,COMM domain containing 9
ENSRNOG00000004756,Syt2,synaptotagmin 2
ENSRNOG00000004760,Lars2,"leucyl-tRNA synthetase 2, mitochondrial"
ENSRNOG00000004763,Sirpa,signal-regulatory protein alpha
ENSRNOG00000004766,Glis2,GLIS family zinc finger 2
ENSRNOG00000004773,Yaf2,YY1 associated factor 2
ENSRNOG00000004775,Cstf1,cleavage stimulation factor subunit 1
ENSRNOG00000004776,Ftsj1,FtsJ RNA 2'-O-methyltransferase 1
ENSRNOG00000004777,Esf1,ESF1 nucleolar pre-rRNA processing protein homolog
ENSRNOG00000004781,Crmp1,collapsin response mediator protein 1
ENSRNOG00000004783,Fam171b,"family with sequence similarity 171, member B"
ENSRNOG00000004784,Ndufaf5,NADH:ubiquinone oxidoreductase complex assembly factor 5
ENSRNOG00000004786,Cyp4f1,"cytochrome P450, family 4, subfamily f, polypeptide 1"
ENSRNOG00000004787,AABR07053185.1,
ENSRNOG00000004789,Utp25,"UTP25, small subunit processor component"
ENSRNOG00000004791,Arf6,ADP-ribosylation factor 6
ENSRNOG00000004793,Ncln,nicalin
ENSRNOG00000004794,Rtn1,reticulon 1
ENSRNOG00000004805,Stac2,SH3 and cysteine rich domain 2
ENSRNOG00000004806,Strn,striatin
ENSRNOG00000004807,Arf2,ADP-ribosylation factor 2
ENSRNOG00000004810,Plcb1,phospholipase C beta 1
ENSRNOG00000004812,Sema6d,semaphorin 6D
ENSRNOG00000004813,Rtcb,"RNA 2',3'-cyclic phosphate and 5'-OH ligase"
ENSRNOG00000004814,Elob,elongin B
ENSRNOG00000004819,Porcn,porcupine O-acyltransferase
ENSRNOG00000004820,Sar1b,"secretion associated, Ras related GTPase 1B"
ENSRNOG00000004821,Sntb1,"syntrophin, beta 1"
ENSRNOG00000004823,Dock4,dedicator of cytokinesis 4
ENSRNOG00000004826,Sos2,SOS Ras/Rho guanine nucleotide exchange factor 2
ENSRNOG00000004827,Papola,poly (A) polymerase alpha
ENSRNOG00000004828,Acvr1c,activin A receptor type 1C
ENSRNOG00000004829,Immp1l,inner mitochondrial membrane peptidase subunit 1
ENSRNOG00000004831,Arid2,AT-rich interaction domain 2
ENSRNOG00000004837,Limd1,LIM domains containing 1
ENSRNOG00000004839,B4galnt1,"beta-1,4-N-acetyl-galactosaminyl transferase 1"
ENSRNOG00000004841,Akap6,A-kinase anchoring protein 6
ENSRNOG00000004842,Dnajc24,DnaJ heat shock protein family (Hsp40) member C24
ENSRNOG00000004844,Med30,mediator complex subunit 30
ENSRNOG00000004846,Atp6v1c1,ATPase H+ transporting V1 subunit C1
ENSRNOG00000004854,Has2,hyaluronan synthase 2
ENSRNOG00000004857,L2hgdh,L-2-hydroxyglutarate dehydrogenase
ENSRNOG00000004860,Myh9,"myosin, heavy chain 9"
ENSRNOG00000004861,Itga4,integrin subunit alpha 4
ENSRNOG00000004863,Mpped2,metallophosphoesterase domain containing 2
ENSRNOG00000004864,Prpf40a,pre-mRNA processing factor 40 homolog A
ENSRNOG00000004870,Dyrk3,dual specificity tyrosine phosphorylation regulated kinase 3
ENSRNOG00000004873,Prkch,"protein kinase C, eta"
ENSRNOG00000004874,Flrt3,fibronectin leucine rich transmembrane protein 3
ENSRNOG00000004882,Capn6,calpain 6
ENSRNOG00000004883,Erh,"ERH, mRNA splicing and mitosis factor"
ENSRNOG00000004888,Spred2,"sprouty-related, EVH1 domain containing 2"
ENSRNOG00000004889,Vangl2,VANGL planar cell polarity protein 2
ENSRNOG00000004890,Adcy8,adenylate cyclase 8
ENSRNOG00000004891,Arl14ep,ADP-ribosylation factor like GTPase 14 effector protein
ENSRNOG00000004893,Dmac2l,distal membrane arm assembly complex 2 like
ENSRNOG00000004899,Kcns3,"potassium voltage-gated channel, modifier subfamily S, member 3"
ENSRNOG00000004900,Crhr1,corticotropin releasing hormone receptor 1
ENSRNOG00000004901,Slc4a1ap,solute carrier family 4 member 1 adaptor protein
ENSRNOG00000004903,Ebp,"EBP, cholestenol delta-isomerase"
ENSRNOG00000004904,Pa2g4,proliferation-associated 2G4
ENSRNOG00000004908,Smc6,structural maintenance of chromosomes 6
ENSRNOG00000004909,Cnot2,"CCR4-NOT transcription complex, subunit 2"
ENSRNOG00000004910,Eif2d,eukaryotic translation initiation factor 2D
ENSRNOG00000004912,Itgav,integrin subunit alpha V
ENSRNOG00000004917,Rasal2,RAS protein activator like 2
ENSRNOG00000004918,Kcna4,potassium voltage-gated channel subfamily A member 4
ENSRNOG00000004921,Nusap1,nucleolar and spindle associated protein 1
ENSRNOG00000004923,Map4k5,mitogen-activated protein kinase kinase kinase kinase 5
ENSRNOG00000004925,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A"
ENSRNOG00000004926,Mettl15,methyltransferase like 15
ENSRNOG00000004927,Supt7l,SPT7-like STAGA complex gamma subunit
ENSRNOG00000004928,Sntg2,"syntrophin, gamma 2"
ENSRNOG00000004932,Sel1l3,SEL1L family member 3
ENSRNOG00000004936,Sdc2,syndecan 2
ENSRNOG00000004937,AABR07057765.1,CUB and Sushi multiple domains 3
ENSRNOG00000004940,Rnf215,ring finger protein 215
ENSRNOG00000004941,Gpn1,GPN-loop GTPase 1
ENSRNOG00000004947,Zfp871,zinc finger protein 871
ENSRNOG00000004950,Ubxn2a,UBX domain protein 2A
ENSRNOG00000004951,Kif16b,kinesin family member 16B
ENSRNOG00000004956,Jade2,jade family PHD finger 2
ENSRNOG00000004959,Actr2,actin related protein 2
ENSRNOG00000004962,Prdm4,PR/SET domain 4
ENSRNOG00000004964,Erbb3,erb-b2 receptor tyrosine kinase 3
ENSRNOG00000004967,Snrpb2,small nuclear ribonucleoprotein polypeptide B2
ENSRNOG00000004968,Ncapg2,"non-SMC condensin II complex, subunit G2"
ENSRNOG00000004971,Txlng,taxilin gamma
ENSRNOG00000004972,Upp1,uridine phosphorylase 1
ENSRNOG00000004973,Ppp2r5c,"protein phosphatase 2, regulatory subunit B', gamma"
ENSRNOG00000004978,Prkacb,protein kinase cAMP-activated catalytic subunit beta
ENSRNOG00000004980,Rangrf,RAN guanine nucleotide release factor
ENSRNOG00000004992,Rab1a,"RAB1A, member RAS oncogene family"
ENSRNOG00000004996,Zcrb1,zinc finger CCHC-type and RNA binding motif containing 1
ENSRNOG00000004998,Jakmip1,janus kinase and microtubule interacting protein 1
ENSRNOG00000005003,Ptprn2,"protein tyrosine phosphatase, receptor type N2"
ENSRNOG00000005006,Ndufaf1,NADH:ubiquinone oxidoreductase complex assembly factor 1
ENSRNOG00000005007,Scn3a,sodium voltage-gated channel alpha subunit 3
ENSRNOG00000005008,Angpt4,angiopoietin 4
ENSRNOG00000005009,Zfp3,zinc finger protein 3
ENSRNOG00000005012,Utp14a,UTP14A small subunit processome component
ENSRNOG00000005015,Rabep1,"rabaptin, RAB GTPase binding effector protein 1"
ENSRNOG00000005016,Tmed4,transmembrane p24 trafficking protein 4
ENSRNOG00000005018,Scn2a,sodium voltage-gated channel alpha subunit 2
ENSRNOG00000005021,Orc4,"origin recognition complex, subunit 4"
ENSRNOG00000005024,Cdkn2aipnl,CDKN2A interacting protein N-terminal like
ENSRNOG00000005031,Surf6,surfeit 6
ENSRNOG00000005033,Acvr1,activin A receptor type 1
ENSRNOG00000005034,Arhgef25,Rho guanine nucleotide exchange factor 25
ENSRNOG00000005039,Tfpi,tissue factor pathway inhibitor
ENSRNOG00000005041,Crip2,cysteine-rich protein 2
ENSRNOG00000005042,Ranbp17,RAN binding protein 17
ENSRNOG00000005043,Cpeb2,cytoplasmic polyadenylation element binding protein 2
ENSRNOG00000005045,Ppp2r5e,"protein phosphatase 2 regulatory subunit B', epsilon"
ENSRNOG00000005046,Tspan13,tetraspanin 13
ENSRNOG00000005048,Trhr,thyrotropin releasing hormone receptor
ENSRNOG00000005049,Tbr1,T-box brain transcription factor 1
ENSRNOG00000005052,Slc39a9,"solute carrier family 39, member 9"
ENSRNOG00000005053,Egln3,egl-9 family hypoxia-inducible factor 3
ENSRNOG00000005058,Lpcat4,lysophosphatidylcholine acyltransferase 4
ENSRNOG00000005059,LOC100911917,mediator of RNA polymerase II transcription subunit 22-like
ENSRNOG00000005061,Dlst,dihydrolipoamide S-succinyltransferase
ENSRNOG00000005063,Atl1,atlastin GTPase 1
ENSRNOG00000005064,LOC103694902,ubiquitin-conjugating enzyme E2 B
ENSRNOG00000005067,Zfp36l2,"zinc finger protein 36, C3H type-like 2"
ENSRNOG00000005070,Spopl,speckle type BTB/POZ protein like
ENSRNOG00000005074,Arl6ip6,ADP ribosylation factor like GTPase 6 interacting protein 6
ENSRNOG00000005076,Bcorl1,BCL6 co-repressor-like 1
ENSRNOG00000005081,Fbxl20,F-box and leucine-rich repeat protein 20
ENSRNOG00000005082,Irf6,interferon regulatory factor 6
ENSRNOG00000005083,Rtfdc1,replication termination factor 2 domain containing 1
ENSRNOG00000005087,Cebpz,CCAAT/enhancer binding protein zeta
ENSRNOG00000005093,Lgr6,leucine-rich repeat-containing G protein-coupled receptor 6
ENSRNOG00000005096,Bzw2,basic leucine zipper and W2 domains 2
ENSRNOG00000005099,Top3a,DNA topoisomerase III alpha
ENSRNOG00000005101,Mia2,MIA SH3 domain ER export factor 2
ENSRNOG00000005102,Washc3,WASH complex subunit 3
ENSRNOG00000005107,Recql5,RecQ like helicase 5
ENSRNOG00000005108,Wfs1,wolframin ER transmembrane glycoprotein
ENSRNOG00000005109,Rprm,"reprimo, TP53 dependent G2 arrest mediator homolog"
ENSRNOG00000005111,Nutm1,"NUT midline carcinoma, family member 1"
ENSRNOG00000005114,Tmem74,transmembrane protein 74
ENSRNOG00000005116,LOC108353446,40S ribosomal protein S2 pseudogene
ENSRNOG00000005122,Uvssa,UV-stimulated scaffold protein A
ENSRNOG00000005123,Emc2,ER membrane protein complex subunit 2
ENSRNOG00000005124,Plekhh2,"pleckstrin homology, MyTH4 and FERM domain containing H2"
ENSRNOG00000005126,Slc66a3,solute carrier family 66 member 3
ENSRNOG00000005129,Dtx3,deltex E3 ubiquitin ligase 3
ENSRNOG00000005130,LOC103693780,"2-oxoglutarate dehydrogenase, mitochondrial-like"
ENSRNOG00000005132,Slc52a3,solute carrier family 52 member 3
ENSRNOG00000005133,Mapt,microtubule-associated protein tau
ENSRNOG00000005135,Bclaf3,BCLAF1 and THRAP3 family member 3
ENSRNOG00000005138,Pip4k2c,phosphatidylinositol-5-phosphate 4-kinase type 2 gamma
ENSRNOG00000005141,Hus1,HUS1 checkpoint clamp component
ENSRNOG00000005144,Tmem18,transmembrane protein 18
ENSRNOG00000005147,Ccdc157,coiled-coil domain containing 157
ENSRNOG00000005149,Sacm1l,SAC1 like phosphatidylinositide phosphatase
ENSRNOG00000005151,Dync2li1,dynein cytoplasmic 2 light intermediate chain 1
ENSRNOG00000005153,Tedc1,tubulin epsilon and delta complex 1
ENSRNOG00000005157,Rbbp7,"RB binding protein 7, chromatin remodeling factor"
ENSRNOG00000005158,Slc24a5,solute carrier family 24 member 5
ENSRNOG00000005159,Fam135b,"family with sequence similarity 135, member B"
ENSRNOG00000005165,Smcr8,SMCR8-C9orf72 complex subunit
ENSRNOG00000005167,LOC100912042,surfeit locus protein 2-like
ENSRNOG00000005174,Tmem121,transmembrane protein 121
ENSRNOG00000005175,Sgpp1,sphingosine-1-phosphate phosphatase 1
ENSRNOG00000005176,Map7d2,MAP7 domain containing 2
ENSRNOG00000005177,Tp53i3,tumor protein p53 inducible protein 3
ENSRNOG00000005180,Vstm2a,V-set and transmembrane domain containing 2A
ENSRNOG00000005183,Rtf1,"Rtf1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)"
ENSRNOG00000005185,Nxph3,neurexophilin 3
ENSRNOG00000005190,Nipal2,NIPA-like domain containing 2
ENSRNOG00000005191,Trim44,tripartite motif-containing 44
ENSRNOG00000005193,Pfas,phosphoribosylformylglycinamidine synthase
ENSRNOG00000005195,Cst3,cystatin C
ENSRNOG00000005196,Slc12a6,"solute carrier family 12, member 6"
ENSRNOG00000005203,Sec61g,Sec61 translocon gamma subunit
ENSRNOG00000005206,Kcnq3,potassium voltage-gated channel subfamily Q member 3
ENSRNOG00000005209,Spred1,"sprouty-related, EVH1 domain containing 1"
ENSRNOG00000005214,Plek,pleckstrin
ENSRNOG00000005215,Klhl4,kelch-like family member 4
ENSRNOG00000005218,Sf3a1,"splicing factor 3a, subunit 1"
ENSRNOG00000005223,Hnmt,histamine N-methyltransferase
ENSRNOG00000005227,Tfap4,transcription factor AP-4
ENSRNOG00000005228,Gnptab,N-acetylglucosamine-1-phosphate transferase subunits alpha and beta
ENSRNOG00000005229,Sec16b,"SEC16 homolog B, endoplasmic reticulum export factor"
ENSRNOG00000005233,Lrrc6,leucine rich repeat containing 6
ENSRNOG00000005234,Gxylt1,glucoside xylosyltransferase 1
ENSRNOG00000005243,Pop1,"POP1 homolog, ribonuclease P/MRP subunit"
ENSRNOG00000005247,LOC100912008,uncharacterized LOC100912008
ENSRNOG00000005248,Slc1a4,solute carrier family 1 member 4
ENSRNOG00000005249,Snx6,sorting nexin 6
ENSRNOG00000005250,Abcg5,ATP binding cassette subfamily G member 5
ENSRNOG00000005256,Zc3h15,zinc finger CCCH-type containing 15
ENSRNOG00000005257,Prkaca,protein kinase cAMP-activated catalytic subunit alpha
ENSRNOG00000005258,Myef2,myelin expression factor 2
ENSRNOG00000005260,Acp1,acid phosphatase 1
ENSRNOG00000005261,Fbxl5,F-box and leucine-rich repeat protein 5
ENSRNOG00000005263,Scaf11,SR-related CTD-associated factor 11
ENSRNOG00000005264,Sav1,salvador family WW domain containing protein 1
ENSRNOG00000005270,Sycp3,synaptonemal complex protein 3
ENSRNOG00000005271,Rapgef5,Rap guanine nucleotide exchange factor 5
ENSRNOG00000005274,Vrk1,VRK serine/threonine kinase 1
ENSRNOG00000005275,Shmt1,serine hydroxymethyltransferase 1
ENSRNOG00000005276,Csnk2a1,casein kinase 2 alpha 1
ENSRNOG00000005277,Ptprv,"protein tyrosine phosphatase, receptor type, V"
ENSRNOG00000005278,Trhde,thyrotropin-releasing hormone degrading enzyme
ENSRNOG00000005279,Ndufaf7,NADH:ubiquinone oxidoreductase complex assembly factor 7
ENSRNOG00000005281,Stx16,syntaxin 16
ENSRNOG00000005284,Itpka,inositol-trisphosphate 3-kinase A
ENSRNOG00000005285,Fbxo33,F-box protein 33
ENSRNOG00000005286,Coch,cochlin
ENSRNOG00000005287,Syne3,"spectrin repeat containing, nuclear envelope family member 3"
ENSRNOG00000005289,Prkd3,protein kinase D3
ENSRNOG00000005290,Ywhae,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon"
ENSRNOG00000005291,Slc38a1,"solute carrier family 38, member 1"
ENSRNOG00000005292,Trip11,thyroid hormone receptor interactor 11
ENSRNOG00000005298,Zfp513,zinc finger protein 513
ENSRNOG00000005299,Kif5a,kinesin family member 5A
ENSRNOG00000005301,Eif2b4,eukaryotic translation initiation factor 2B subunit delta
ENSRNOG00000005302,Slc2a9,solute carrier family 2 member 9
ENSRNOG00000005303,Tbc1d25,"TBC1 domain family, member 25"
ENSRNOG00000005307,Slc4a10,solute carrier family 4 member 10
ENSRNOG00000005308,Tmx2,thioredoxin-related transmembrane protein 2
ENSRNOG00000005309,Scn8a,sodium voltage-gated channel alpha subunit 8
ENSRNOG00000005310,Cul1,cullin 1
ENSRNOG00000005323,AABR07064873.1,
ENSRNOG00000005326,Cnrip1,cannabinoid receptor interacting protein 1
ENSRNOG00000005330,Crebbp,CREB binding protein
ENSRNOG00000005331,Vapb,VAMP associated protein B and C
ENSRNOG00000005332,Csdc2,cold shock domain containing C2
ENSRNOG00000005333,Azin1,antizyme inhibitor 1
ENSRNOG00000005334,Acvr2a,activin A receptor type 2A
ENSRNOG00000005335,Galnt13,polypeptide N-acetylgalactosaminyltransferase 13
ENSRNOG00000005338,Drd5,dopamine receptor D5
ENSRNOG00000005342,Rassf5,Ras association domain family member 5
ENSRNOG00000005343,Esr2,estrogen receptor 2
ENSRNOG00000005344,Nol10,nucleolar protein 10
ENSRNOG00000005345,Vsnl1,visinin-like 1
ENSRNOG00000005346,Tmem128,transmembrane protein 128
ENSRNOG00000005347,Fjx1,four-jointed box kinase 1
ENSRNOG00000005348,Pamr1,peptidase domain containing associated with muscle regeneration 1
ENSRNOG00000005350,Pwp1,"PWP1 homolog, endonuclein"
ENSRNOG00000005352,Elf4,E74 like ETS transcription factor 4
ENSRNOG00000005353,Rybp,RING1 and YY1 binding protein
ENSRNOG00000005355,Ncstn,nicastrin
ENSRNOG00000005357,Ctc1,CST telomere replication complex component 1
ENSRNOG00000005358,Pmm1,phosphomannomutase 1
ENSRNOG00000005359,Csrnp3,cysteine and serine rich nuclear protein 3
ENSRNOG00000005360,Dhrs7b,dehydrogenase/reductase 7B
ENSRNOG00000005362,Rab3ip,RAB3A interacting protein
ENSRNOG00000005365,Kcnip1,potassium voltage-gated channel interacting protein 1
ENSRNOG00000005366,AABR07053472.1,
ENSRNOG00000005369,Kcnj3,"potassium inwardly-rectifying channel, subfamily J, member 3"
ENSRNOG00000005371,Klhl29,kelch-like family member 29
ENSRNOG00000005374,Lyar,Ly1 antibody reactive
ENSRNOG00000005375,RGD1564053,RIKEN cDNA A830018L16 gene
ENSRNOG00000005376,Mad2l1,mitotic arrest deficient 2 like 1
ENSRNOG00000005377,Tmem11,transmembrane protein 11
ENSRNOG00000005378,Gna15,G protein subunit alpha 15
ENSRNOG00000005386,Kitlg,KIT ligand
ENSRNOG00000005387,Rbm3,RNA binding motif protein 3
ENSRNOG00000005388,Rassf3,Ras association domain family member 3
ENSRNOG00000005389,Ppp2ca,protein phosphatase 2 catalytic subunit alpha
ENSRNOG00000005390,Nup210,nucleoporin 210
ENSRNOG00000005391,Prex2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
ENSRNOG00000005392,Ngfr,nerve growth factor receptor
ENSRNOG00000005393,Sertad2,SERTA domain containing 2
ENSRNOG00000005397,Maea,macrophage erythroblast attacher
ENSRNOG00000005404,Rasgrp1,RAS guanyl releasing protein 1
ENSRNOG00000005406,Clint1,clathrin interactor 1
ENSRNOG00000005408,Natd1,N-acetyltransferase domain containing 1
ENSRNOG00000005409,Lrrc9,leucine rich repeat containing 9
ENSRNOG00000005410,Cdca7l,cell division cycle associated 7 like
ENSRNOG00000005411,Aftph,aftiphilin
ENSRNOG00000005413,Creb3l1,cAMP responsive element binding protein 3-like 1
ENSRNOG00000005417,Zhx2,zinc fingers and homeoboxes 2
ENSRNOG00000005418,Trap1,TNF receptor-associated protein 1
ENSRNOG00000005424,Odc1,ornithine decarboxylase 1
ENSRNOG00000005426,Snupn,snurportin 1
ENSRNOG00000005428,Ctbp1,C-terminal binding protein 1
ENSRNOG00000005433,Shq1,"SHQ1, H/ACA ribonucleoprotein assembly factor"
ENSRNOG00000005434,Sptbn1,"spectrin, beta, non-erythrocytic 1"
ENSRNOG00000005437,Rida,reactive intermediate imine deaminase A homolog
ENSRNOG00000005438,Pcsk2,proprotein convertase subtilisin/kexin type 2
ENSRNOG00000005446,Gna11,G protein subunit alpha 11
ENSRNOG00000005447,Ypel2,yippee-like 2
ENSRNOG00000005450,Lsm11,"LSM11, U7 small nuclear RNA associated"
ENSRNOG00000005451,Dnah11,"dynein, axonemal, heavy chain 11"
ENSRNOG00000005457,Lamp5,"lysosomal-associated membrane protein family, member 5"
ENSRNOG00000005464,Lgalsl,galectin-like
ENSRNOG00000005468,Rbm28,RNA binding motif protein 28
ENSRNOG00000005470,Atxn3,ataxin 3
ENSRNOG00000005472,Sp4,Sp4 transcription factor
